296455,7383858      12
296455,7400864      2
296500,7394478      2
296527,7394496      12
296540,738423      6
296566,7394447      6
296610,7396045      2
296679,7384602      2
296690,7395917      2
296708,7383117      2
296720,7383552      2
296779,7384359      6
296786,7394575      4
296818,7395775      12
296822,7383589      10
296822,7384224      2
296822,7384226      4
296879,7384389      6
296883,7384351      4
296934,7385082      6
296973,7383178      2
296994,7394696      10
297004,7395215      4
297025,7347794      2
297031,739608      10
297051,7391506      4
297058,7394496      4
297060,7382097      6
297092,7394822      8
297093,7384188      2
297102,7384288      6
297104,7395621      2
297124,7353032      2
297151,7394906      2
297167,7352478      8
297196,7395764      4
297200,7387265      4
297220,7387249      8
297224,7387277      6
297346,7409189      2
297363,7353693      6
297373,7409187      6
297401,7393224      6
297415,7385506      2
297435,7409298      2
297437,7383093      6
297440,7409306      10
297448,7408913      4
297456,7395624      2
297476,7409225      2
297478,7409239      2
297480,7396361      12
297484,7386819      2
297484,7408914      4
297501,740909      4
297506,7385629      2
297529,7409297      2
297534,7409294      2
297608,7396508      2
297624,73558      8
297672,7395726      2
297703,7395927      6
297705,7355809      4
297754,7409104      6
297754,7409955      6
297761,7409947      8
297762,7409171      4
297767,740994      10
297775,7409432      4
297800,7409102      2
297803,7395941      4
297818,7395588      6
297819,7408874      10
297826,740897      2
297840,7410356      8
297842,7385788      2
297866,7395139      2
297872,7408903      2
297875,7355941      10
297879,7396212      6
297887,7396298      2
297906,7387366      4
297910,7395209      2
297911,7395207      2
297911,7395208      2
297930,7409454      4
297950,7395158      2
297957,7409145      4
297971,7395733      2
298002,7390002      22
298026,7409094      2
298027,7409095      4
298087,7408849      10
298108,7396258      2
298209,73842      8
298212,7395784      2
298215,7395774      10
298224,7408777      8
298299,7395297      6
298300,7409117      2
298323,739676      6
298324,741005      4
298329,7409561      4
298346,7401498      2
298364,7409353      6
298386,7415099      14
298432,7395766      2
298480,7409583      2
298514,7409658      6
298520,738643      2
298567,738673      2
298567,7394236      4
298587,7409673      2
298589,7363565      8
298629,7409738      2
298659,7386072      2
298659,7400781      6
298667,7396408      2
298712,7387221      2
298713,740208      2
298734,7387139      4
298740,739567      4
298760,7357222      10
298780,7386997      2
298784,7357318      4
298796,7394629      2
298800,7357149      8
298870,7357246      4
298870,7386948      2
298892,7357346      2
298897,7394697      2
298921,7400622      8
298942,7357372      4
298977,7400697      6
299001,740058      2
299004,7395532      4
299064,7387772      6
299093,7396449      14
299109,7396456      2
299131,7395288      4
299158,7395454      2
299163,7390647      8
299169,7395112      8
299181,7394757      18
299212,7357484      4
299216,7395189      6
299221,7397865      2
299228,7355161      6
299254,7395105      4
299260,739815      2
299265,7397693      2
299272,7397694      2
299313,7397956      2
299370,7399989      5
299377,7355026      2
299431,7400365      2
299492,7386837      4
299545,7389979      10
299560,740051      2
299562,7389699      2
299574,7400462      2
